0.075000,1.171649,-3.058218,0.126711
0.081250,1.169164,-2.970797,0.267820
0.087500,1.166803,-2.875983,0.406976
0.093750,1.164625,-2.768793,0.542571
0.100000,1.162686,-2.642487,0.672268
0.106250,1.161034,-2.487794,0.792464
0.112500,1.159709,-2.292808,0.897478
0.118750,1.158743,-2.046171,0.978700
0.125000,1.158159,-1.748166,1.025059
0.131250,1.157968,-1.425566,1.027385
0.137500,1.158170,-1.123372,0.985149
0.143750,1.158755,-0.871209,0.906927
0.150000,1.159701,-0.671465,0.803878
0.156250,1.160979,-0.513292,0.684927
0.162500,1.162548,-0.384601,0.556017
0.168750,1.164360,-0.275836,0.420919
0.175000,1.166361,-0.180036,0.282068
0.181250,1.168493,-0.092077,0.141129
0.312500,1.166888,-3.073588,0.100963
0.318750,1.164516,-2.987108,0.242222
0.325000,1.162257,-2.894017,0.381774
0.331250,1.160170,-2.789575,0.518107
0.337500,1.158312,-2.667431,0.649050
0.343750,1.156732,-2.518836,0.771290
6.255004,2.714860,-0.629606,0.781885
6.408543,2.775602,-3.107167,0.052518
6.485313,2.789326,-0.654538,0.798741
6.638852,2.849506,-3.118667,0.033161
6.715622,2.862202,-0.677929,0.813768
6.869161,2.921785,-3.129109,0.015559
